model,optimizer,learning_rate,accuracy,precision,recall,specificity,f1_score,auc,tn,fp,fn,tp,history_plot,roc_plot,classification_report,confusion_matrix
efficientnetb3,adam,1e-06,0.5444444444444444,0.5344827586206896,0.6888888888888889,0.4,0.6019417475728155,0.532962962962963,36,54,28,62,outputs_efficientnetb3\plots\efficientnetb3_adam_lr_1e-06_history.png,outputs_efficientnetb3\plots\efficientnetb3_adam_lr_1e-06_roc.png,outputs_efficientnetb3\reports\efficientnetb3_adam_lr_1e-06_classification_report.csv,outputs_efficientnetb3\confusion_matrices\efficientnetb3_adam_lr_1e-06_confusion_matrix.csv
efficientnetb3,adagrad,0.0001,0.5611111111111111,0.544,0.7555555555555555,0.36666666666666664,0.6325581395348837,0.538641975308642,33,57,22,68,outputs_efficientnetb3\plots\efficientnetb3_adagrad_lr_0p0001_history.png,outputs_efficientnetb3\plots\efficientnetb3_adagrad_lr_0p0001_roc.png,outputs_efficientnetb3\reports\efficientnetb3_adagrad_lr_0p0001_classification_report.csv,outputs_efficientnetb3\confusion_matrices\efficientnetb3_adagrad_lr_0p0001_confusion_matrix.csv
efficientnetb3,adagrad,1e-05,0.48333333333333334,0.4594594594594595,0.18888888888888888,0.7777777777777778,0.2677165354330709,0.4020987654320988,70,20,73,17,outputs_efficientnetb3\plots\efficientnetb3_adagrad_lr_1e-05_history.png,outputs_efficientnetb3\plots\efficientnetb3_adagrad_lr_1e-05_roc.png,outputs_efficientnetb3\reports\efficientnetb3_adagrad_lr_1e-05_classification_report.csv,outputs_efficientnetb3\confusion_matrices\efficientnetb3_adagrad_lr_1e-05_confusion_matrix.csv
efficientnetb3,adagrad,1e-06,0.5777777777777777,0.625,0.3888888888888889,0.7666666666666667,0.4794520547945205,0.5844444444444444,69,21,55,35,outputs_efficientnetb3\plots\efficientnetb3_adagrad_lr_1e-06_history.png,outputs_efficientnetb3\plots\efficientnetb3_adagrad_lr_1e-06_roc.png,outputs_efficientnetb3\reports\efficientnetb3_adagrad_lr_1e-06_classification_report.csv,outputs_efficientnetb3\confusion_matrices\efficientnetb3_adagrad_lr_1e-06_confusion_matrix.csv
efficientnetb3,adamax,0.0001,0.5333333333333333,0.5272727272727272,0.6444444444444445,0.4222222222222222,0.58,0.5825925925925926,38,52,32,58,outputs_efficientnetb3\plots\efficientnetb3_adamax_lr_0p0001_history.png,outputs_efficientnetb3\plots\efficientnetb3_adamax_lr_0p0001_roc.png,outputs_efficientnetb3\reports\efficientnetb3_adamax_lr_0p0001_classification_report.csv,outputs_efficientnetb3\confusion_matrices\efficientnetb3_adamax_lr_0p0001_confusion_matrix.csv
efficientnetb3,adamax,1e-05,0.4888888888888889,0.4934210526315789,0.8333333333333334,0.14444444444444443,0.6198347107438017,0.5154320987654321,13,77,15,75,outputs_efficientnetb3\plots\efficientnetb3_adamax_lr_1e-05_history.png,outputs_efficientnetb3\plots\efficientnetb3_adamax_lr_1e-05_roc.png,outputs_efficientnetb3\reports\efficientnetb3_adamax_lr_1e-05_classification_report.csv,outputs_efficientnetb3\confusion_matrices\efficientnetb3_adamax_lr_1e-05_confusion_matrix.csv
efficientnetb3,adamax,1e-06,0.5388888888888889,0.5263157894736842,0.7777777777777778,0.3,0.6278026905829597,0.5430864197530864,27,63,20,70,outputs_efficientnetb3\plots\efficientnetb3_adamax_lr_1e-06_history.png,outputs_efficientnetb3\plots\efficientnetb3_adamax_lr_1e-06_roc.png,outputs_efficientnetb3\reports\efficientnetb3_adamax_lr_1e-06_classification_report.csv,outputs_efficientnetb3\confusion_matrices\efficientnetb3_adamax_lr_1e-06_confusion_matrix.csv
efficientnetb3,adadelta,0.0001,0.4888888888888889,0.4878048780487805,0.4444444444444444,0.5333333333333333,0.46511627906976744,0.4680246913580247,48,42,50,40,outputs_efficientnetb3\plots\efficientnetb3_adadelta_lr_0p0001_history.png,outputs_efficientnetb3\plots\efficientnetb3_adadelta_lr_0p0001_roc.png,outputs_efficientnetb3\reports\efficientnetb3_adadelta_lr_0p0001_classification_report.csv,outputs_efficientnetb3\confusion_matrices\efficientnetb3_adadelta_lr_0p0001_confusion_matrix.csv
efficientnetb3,adadelta,1e-05,0.4222222222222222,0.3939393939393939,0.28888888888888886,0.5555555555555556,0.3333333333333333,0.39259259259259255,50,40,64,26,outputs_efficientnetb3\plots\efficientnetb3_adadelta_lr_1e-05_history.png,outputs_efficientnetb3\plots\efficientnetb3_adadelta_lr_1e-05_roc.png,outputs_efficientnetb3\reports\efficientnetb3_adadelta_lr_1e-05_classification_report.csv,outputs_efficientnetb3\confusion_matrices\efficientnetb3_adadelta_lr_1e-05_confusion_matrix.csv
efficientnetb3,adadelta,1e-06,0.5388888888888889,0.5853658536585366,0.26666666666666666,0.8111111111111111,0.366412213740458,0.5230864197530865,73,17,66,24,outputs_efficientnetb3\plots\efficientnetb3_adadelta_lr_1e-06_history.png,outputs_efficientnetb3\plots\efficientnetb3_adadelta_lr_1e-06_roc.png,outputs_efficientnetb3\reports\efficientnetb3_adadelta_lr_1e-06_classification_report.csv,outputs_efficientnetb3\confusion_matrices\efficientnetb3_adadelta_lr_1e-06_confusion_matrix.csv
efficientnetb3,sgd,0.0001,0.5444444444444444,0.527027027027027,0.8666666666666667,0.2222222222222222,0.6554621848739496,0.5401234567901234,20,70,12,78,outputs_efficientnetb3\plots\efficientnetb3_sgd_lr_0p0001_history.png,outputs_efficientnetb3\plots\efficientnetb3_sgd_lr_0p0001_roc.png,outputs_efficientnetb3\reports\efficientnetb3_sgd_lr_0p0001_classification_report.csv,outputs_efficientnetb3\confusion_matrices\efficientnetb3_sgd_lr_0p0001_confusion_matrix.csv
efficientnetb3,sgd,1e-05,0.45,0.4716981132075472,0.8333333333333334,0.06666666666666667,0.6024096385542169,0.4685185185185185,6,84,15,75,outputs_efficientnetb3\plots\efficientnetb3_sgd_lr_1e-05_history.png,outputs_efficientnetb3\plots\efficientnetb3_sgd_lr_1e-05_roc.png,outputs_efficientnetb3\reports\efficientnetb3_sgd_lr_1e-05_classification_report.csv,outputs_efficientnetb3\confusion_matrices\efficientnetb3_sgd_lr_1e-05_confusion_matrix.csv
efficientnetb3,sgd,1e-06,0.48333333333333334,0.4909090909090909,0.9,0.06666666666666667,0.6352941176470588,0.47703703703703704,6,84,9,81,outputs_efficientnetb3\plots\efficientnetb3_sgd_lr_1e-06_history.png,outputs_efficientnetb3\plots\efficientnetb3_sgd_lr_1e-06_roc.png,outputs_efficientnetb3\reports\efficientnetb3_sgd_lr_1e-06_classification_report.csv,outputs_efficientnetb3\confusion_matrices\efficientnetb3_sgd_lr_1e-06_confusion_matrix.csv
efficientnetb3,rmsprop,0.0001,0.5555555555555556,0.5390625,0.7666666666666667,0.34444444444444444,0.6330275229357798,0.5567901234567901,31,59,21,69,outputs_efficientnetb3\plots\efficientnetb3_rmsprop_lr_0p0001_history.png,outputs_efficientnetb3\plots\efficientnetb3_rmsprop_lr_0p0001_roc.png,outputs_efficientnetb3\reports\efficientnetb3_rmsprop_lr_0p0001_classification_report.csv,outputs_efficientnetb3\confusion_matrices\efficientnetb3_rmsprop_lr_0p0001_confusion_matrix.csv
efficientnetb3,rmsprop,1e-05,0.5166666666666667,0.5882352941176471,0.1111111111111111,0.9222222222222223,0.18691588785046728,0.5155555555555555,83,7,80,10,outputs_efficientnetb3\plots\efficientnetb3_rmsprop_lr_1e-05_history.png,outputs_efficientnetb3\plots\efficientnetb3_rmsprop_lr_1e-05_roc.png,outputs_efficientnetb3\reports\efficientnetb3_rmsprop_lr_1e-05_classification_report.csv,outputs_efficientnetb3\confusion_matrices\efficientnetb3_rmsprop_lr_1e-05_confusion_matrix.csv
efficientnetb3,rmsprop,1e-06,0.5055555555555555,0.503030303030303,0.9222222222222223,0.08888888888888889,0.6509803921568628,0.42345679012345677,8,82,7,83,outputs_efficientnetb3\plots\efficientnetb3_rmsprop_lr_1e-06_history.png,outputs_efficientnetb3\plots\efficientnetb3_rmsprop_lr_1e-06_roc.png,outputs_efficientnetb3\reports\efficientnetb3_rmsprop_lr_1e-06_classification_report.csv,outputs_efficientnetb3\confusion_matrices\efficientnetb3_rmsprop_lr_1e-06_confusion_matrix.csv
